timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1554837646662,9195,Register,201,,Thread Group 1-29,text,true,,358,344,696,696,https://csye6225-spring2019-zhangjin.me/user/register,9195,0,5034
1554837646647,9214,Register,201,,Thread Group 1-16,text,true,,358,344,696,696,https://csye6225-spring2019-zhangjin.me/user/register,9214,0,5036
1554837647960,7904,Register,201,,Thread Group 1-156,text,true,,358,344,696,696,https://csye6225-spring2019-zhangjin.me/user/register,7904,0,3718
1554837647999,7871,Register,201,,Thread Group 1-163,text,true,,358,344,697,697,https://csye6225-spring2019-zhangjin.me/user/register,7871,0,3711
1554837647973,7897,Register,201,,Thread Group 1-160,text,true,,358,344,697,697,https://csye6225-spring2019-zhangjin.me/user/register,7897,0,3726
1554837646647,9246,Register,201,,Thread Group 1-21,text,true,,358,344,697,697,https://csye6225-spring2019-zhangjin.me/user/register,9246,0,5061
1554837651412,4527,Register,201,,Thread Group 1-441,text,true,,358,344,697,697,https://csye6225-spring2019-zhangjin.me/user/register,4527,0,2407
1554837654413,1854,Register,201,,Thread Group 1-555,text,true,,358,344,715,715,https://csye6225-spring2019-zhangjin.me/user/register,1854,0,128
1554837646651,9616,Register,201,,Thread Group 1-26,text,true,,358,344,715,715,https://csye6225-spring2019-zhangjin.me/user/register,9616,0,5082
1554837647588,8806,Register,201,,Thread Group 1-121,text,true,,358,344,727,727,https://csye6225-spring2019-zhangjin.me/user/register,8806,0,4178
1554837647635,8763,Register,201,,Thread Group 1-122,text,true,,358,344,727,727,https://csye6225-spring2019-zhangjin.me/user/register,8763,0,4129
1554837646657,9819,Register,201,,Thread Group 1-8,text,true,,358,344,730,730,https://csye6225-spring2019-zhangjin.me/user/register,9819,0,5110
1554837647423,9052,Register,201,,Thread Group 1-105,text,true,,358,344,730,730,https://csye6225-spring2019-zhangjin.me/user/register,9052,0,4284
1554837648809,7662,Register,201,,Thread Group 1-233,text,true,,358,344,730,730,https://csye6225-spring2019-zhangjin.me/user/register,7662,0,5269
1554837652261,4207,Register,201,,Thread Group 1-479,text,true,,358,344,730,730,https://csye6225-spring2019-zhangjin.me/user/register,4207,0,1769
1554837654549,1931,Register,201,,Thread Group 1-573,text,true,,358,344,730,730,https://csye6225-spring2019-zhangjin.me/user/register,1931,0,238
